0,0,3,6,9,12,13,14,15,16,19,22,25,28
1,0.24,0.198,0.209,0.22,0.228,0.235,0.234,0.239,0.234,0.207,0.196,0.206,0.239
4,0.755,0.672,0.653,0.67,0.687,0.688,0.685,0.695,0.698,0.69,0.687,0.683,0.768
7,1.043,1.01,0.996,1.011,1.078,1.192,1.191,1.173,1.13,1.101,1.138,1.148,1.107
8,1.122,1.096,1.083,1.11,1.193,1.2,1.193,1.187,1.192,1.201,1.26,1.246,1.215
9,1.214,1.199,1.192,1.208,1.25,1.252,1.253,1.244,1.229,1.312,1.386,1.41,1.406
10,1.264,1.259,1.278,1.275,1.246,1.241,1.234,1.234,1.232,1.387,1.446,1.477,1.49
11,1.349,1.354,1.353,1.359,1.348,1.258,1.256,1.25,1.335,1.449,1.516,1.559,1.581
14,1.542,1.56,1.562,1.577,1.574,1.569,1.573,1.571,1.643,1.685,1.714,1.712,1.732
17,1.718,1.749,1.769,1.783,1.802,1.806,1.808,1.815,1.825,1.841,1.86,1.859,1.863
