0,0,3,6,9,12,15,18,21,24,27
1,0.267,0.212,0.199,0.204,0.21,0.217,0.216,0.191,0.181,0.208
3,0.604,0.502,0.503,0.491,0.505,0.496,0.506,0.481,0.45,0.524
5,0.881,0.803,0.782,0.771,0.766,0.793,0.79,0.813,0.832,0.872
7,1.062,1.035,1.026,1.061,1.074,1.08,1.054,1.042,1.069,1.107
9,1.21,1.194,1.2,1.217,1.246,1.22,1.248,1.247,1.255,1.236
11,1.351,1.359,1.384,1.1402,1.432,1.419,1.1431,1.442,1.458,1.422
13,1.485,1.504,1.519,1.543,1.555,1.563,1.575,1.581,1.592,1.595
15,1.613,1.638,1.665,1.677,1.685,1.701,1.72,1.727,1.74,1.74
17,1.719,1.749,1.768,1.783,1.805,1.827,1.836,1.84,1.841,1.842
